  "name"
  "BANCAMIA S.A."
  "BANCO AGRARIO"
  "BANCO AV VILLAS"
  "BANCO BBVA COLOMBIA S.A."
  "BANCO CAJA SOCIAL"
  "BANCO COOPERATIVO COOPCENTRAL"
  "BANCO CREDIFINANCIERA"
  "BANCO DAVIVIENDA"
  "BANCO DE BOGOTA"
  "BANCO DE OCCIDENTE"
  "BANCO FALABELLA "
  "BANCO GNB SUDAMERIS"
  "BANCO ITAU"
  "BANCO PICHINCHA S.A."
  "BANCO POPULAR"
  "BANCO SANTANDER COLOMBIA"
  "BANCO SERFINANZA"
  "BANCOLOMBIA"
  "BANCOOMEVA S.A."
  "CFA COOPERATIVA FINANCIERA"
  "CITIBANK "
  "COLTEFINANCIERA"
  "CONFIAR COOPERATIVA FINANCIERA"
  "COTRAFA"
  "DAVIPLATA"
  "RAPPIPAY"
  "SCOTIABANK COLPATRIA"
